119.6.234.43 ctldl.windowsupdate.com
111.221.29.254 vortex.data.microsoft.com
40.90.22.186 login.live.com
40.119.249.228 settings.data.microsoft.com
13.107.42.15 device.auth.xboxlive.com
52.184.80.179 licensing.mp.microsoft.com
134.170.179.91 title.auth.xboxlive.com
51.143.119.49 user.auth.xboxlive.com
52.139.250.253 client.wns.windows.com
40.119.249.228 settings-win.data.microsoft.com
23.203.68.14 go.microsoft.com
13.74.179.117 slscr.update.microsoft.com
52.156.147.113 xsts.auth.xboxlive.com
40.67.185.93 title.mgt.xboxlive.com
104.123.76.11 profile.xboxlive.com
104.114.76.178 dlassets.xboxlive.com
58.251.112.233 qdun-data.qq.com
58.251.112.242 qd-update.qq.com
104.215.254.178 skypexbox.skype.com
104.123.76.11 comments.xboxlive.com
104.123.76.11 social.xboxlive.com
218.60.47.101 dl.delivery.mp.microsoft.com
104.123.76.11 notify.xboxlive.com
52.149.21.60 azwus2-client-s.gateway.messenger.live.com
13.107.246.10 pti.store.microsoft.com
65.52.108.90 fe3cr.delivery.mp.microsoft.com
13.74.179.117 slscr.update.microsoft.com
52.231.18.241 dc.services.visualstudio.com
52.142.21.137 fe2cr.update.microsoft.com
23.1.244.11 dlassets-ssl.xboxlive.com
58.251.112.222 zyx.qq.com
51.143.119.49 user.auth.xboxlive.com
23.1.244.75 filedownload.lenovo.com
13.227.241.7 filedownload.csw.lenovo.com
117.18.237.29 ocsp.digicert.com
40.119.211.203 client.wns.windows.com
223.203.200.43 osfsr.lenovomm.com
39.96.145.252 bd.lenovo.com.cn
221.194.155.229 download.lenovo.com
23.52.177.146 filedownload.lenovo.com
23.1.244.165 download.amd.com
23.1.244.165 download.amd.com
3.215.25.87 www.systemrequirementslab.com
3.229.116.209 www.systemrequirementslab.com
39.96.145.252 ldc.lenovo.com.cn
27.221.93.212 saascdn.lenovo.com.cn
40.70.11.44 luda.dxp.lenovo.com
54.227.246.63 genuine.adobe.com
40.70.11.44 msg.dxp.lenovo.com
40.70.11.44 msg.dxp.lenovo.com
34.226.135.56 api.naea1.uds.lenovo.com
38.106.231.204 chifsr.lenovomm.com
221.194.155.152 support.amd.com
20.44.232.74 activity.windows.com
20.44.232.74 activity.windows.com
203.208.41.34 update.googleapis.com
203.208.41.33 redirector.gvt1.com
203.208.39.157 r11---sn-2x3eln7d.gvt1.com
203.208.39.157 r11---sn-2x3eln7d.gvt1.com
203.208.39.26 r8---sn-2x3eln7l.gvt1.com
39.96.145.252 ldc.lenovo.com.cn
172.217.27.142 clients5.google.com
138.91.140.216 v20.events.data.microsoft.com
138.91.140.216 v10.events.data.microsoft.com
20.189.124.38 arc.msn.com
117.18.237.29 ocsp.digicert.com
111.221.29.254 vortex.data.microsoft.com
111.221.29.254 vortex.data.microsoft.com
23.52.177.41 livetileedge.dsx.mp.microsoft.com
117.18.237.29 crl3.digicert.com
117.18.237.29 crl3.digicert.com
40.119.211.203 client.wns.windows.com
52.184.80.179 licensing.mp.microsoft.com
40.119.249.228 settings.data.microsoft.com
23.52.176.63 profile.xboxlive.com
23.52.176.63 profile.xboxlive.com
117.18.232.200 dlassets.xboxlive.com
52.156.147.113 xsts.auth.xboxlive.com
104.215.254.178 skypexbox.skype.com
23.52.176.63 comments.xboxlive.com
23.52.176.63 notify.xboxlive.com
23.52.176.63 social.xboxlive.com
52.149.21.60 azwus2-client-s.gateway.messenger.live.com
111.221.29.254 vortex.data.microsoft.com
223.203.200.43 osfsr.lenovomm.com
10.3.9.161 www.bupt.edu.cn
23.203.68.14 go.microsoft.com
20.190.140.142 login.microsoftonline.com
13.107.42.18 app.vssps.visualstudio.com
13.107.42.18 app.vssps.visualstudio.com
